Algorithm,Key_Size,Payload_Size,Sample_Num,Encrypt_Delay_sec
ECC,Level_1,50,1,0.0008858999999574735
ECC,Level_1,50,2,0.00014639999994869868
ECC,Level_1,50,3,0.00013369999999213178
ECC,Level_1,50,4,0.00011910000000625587
ECC,Level_1,50,5,0.00012110000000120635
ECC,Level_1,50,6,0.00011700000004566391
ECC,Level_1,50,7,0.00018250000005082256
ECC,Level_1,50,8,0.00018149999993966048
ECC,Level_1,50,9,0.00012029999993501406
ECC,Level_1,50,10,0.00013090000004467583
ECC,Level_1,50,11,0.00013179999996282277
ECC,Level_1,50,12,0.00012689999994108803
ECC,Level_1,50,13,0.00021469999990131328
ECC,Level_1,50,14,0.0001362000000426633
ECC,Level_1,50,15,0.0001506999999492109
ECC,Level_1,50,16,0.00015099999995982216
ECC,Level_1,50,17,0.00014199999998254498
ECC,Level_1,50,18,0.0001790000000028158
ECC,Level_1,50,19,0.00018609999995078397
ECC,Level_1,50,20,0.00016619999996692059
ECC,Level_1,50,21,0.00019980000001851295
ECC,Level_1,50,22,0.00018250000005082256
ECC,Level_1,50,23,0.00015550000000530417
ECC,Level_1,50,24,0.0001790000000028158
ECC,Level_1,50,25,0.00020599999993464735
ECC,Level_1,50,26,0.00014130000010936783
ECC,Level_1,50,27,0.0001449999999749707
ECC,Level_1,50,28,0.00015070000006289774
ECC,Level_1,50,29,0.00018119999992904923
ECC,Level_1,50,30,0.00017919999993409874
ECC,Level_1,50,31,0.0001903999999512962
ECC,Level_1,50,32,0.00015599999994719838
ECC,Level_1,50,33,0.00014269999996940896
ECC,Level_1,50,34,0.00018479999994269747
ECC,Level_1,50,35,0.00013369999999213178
ECC,Level_1,50,36,0.0002001000000291242
ECC,Level_1,50,37,0.00018309999995835824
ECC,Level_1,50,38,0.00017909999996845727
ECC,Level_1,50,39,0.00015499999994972313
ECC,Level_1,50,40,0.0001443999999537482
ECC,Level_1,50,41,0.00012780000008660863
ECC,Level_1,50,42,0.00023870000006809278
ECC,Level_1,50,43,0.00028420000001005974
ECC,Level_1,50,44,0.00013239999998404528
ECC,Level_1,50,45,0.00016979999998056883
ECC,Level_1,50,46,0.00020170000004782196
